"","x"
"sl_1",0.963852701533627
"sl_2",1.1940277363256
"sl_3",0.640612962713733
"sl_4",1.16992616126684
"sl_5",0.949795603765508
"sl_6",0.948772792303439
"sl_7",0.745564379071134
"sl_8",1.15053826630747
"sl_9",1.04261838320128
"sl_10",0.948669175366844
"sl_11",1.07940340944626
"sl_12",1.11848033479481
"LOT_1",0.843614273245535
"LOT_2",0.858378424294103
"LOT_3",1.11366110651912
"LOT_4",0.846347615431091
"LOT_5",1.09033010141909
"LOT_6",0.687723967913396
"IPC_1",1.31412851347563
"IPC_2",0.534035153072963
"IPC_3",1.05740199136585
"IPC_4",0.505559674278241
"IPC_5",1.09711143280047
"IPC_6",1.0890377376007
"IPC_7",1.12772524732289
"IPC_8",0.851140507336725
"ss_1",1.10126676979117
"ss_2",0.895065174741809
"ss_3",1.02256269944333
"ss_4",0.887754284395745
"ss_5",0.950290435909025
"ss_6",1.03010483727476
"ss_7",1.04992555671715
"ss_8",0.576652770749374
"ss_9",1.04097826515251
"ss_10",0.977165113408036
"cr_1",1.1383658243253
"c_2",1.18464050623913
"c_3",1.17752522014098
"c_4",1.12118783417952
"c_5",0.927131884638733
"c_6",1.17862594854779
"c_7",1.22736632186493
"c_8",1.20325376134766
"c_9",1.05356977571162
"c_10",1.03986365416639
"NPI1",0.871172882295109
"NPI2",1.08727191900272
"NPI3",1.10515939212225
"NPI4",0.931358543346951
"NPI5",0.873261184355964
"NPI6",0.818670902673875
"NPI7",0.84055521955816
"NPI8",0.705228238364775
"NPI9",0.487389524641245
"NPI10",1.0312378570744
"NPI11",0.900264674321971
"NPI12",0.177789964012747
"NPI13",0.529416777494986
"NPI14",0.216671641921386
"NPI15",0.943914502382849
"hs_1",0.91864724935266
"h_2",1.0824122565435
"h_3",0.792818829051324
"h_4",0.650553048106091
"h_5",1.0456620146095
"h_6",0.793462179002272
"h_7",0.767566633301211
"h_8",0.699441717267031
"h_9",0.593412981278861
"h_10",1.04541189749155
"MrI_1",0.898527914865199
"MI_2",0.910522521458234
"MI_3",0.501948847998679
"MI_4",0.589876761377034
"MI_5",1.06847286725896
"MI_6",0.854234566464601
"MI_7",1.00386830065628
"MI_8",0.893631685071784
"MI_9",0.981272073381346
"MI_10",0.933024591930661
"mSI_1",1.06148162481053
"mSI_2",0.941023127990867
"mSI_3",1.05659484015643
"mSI_4",0.998241406563063
"mSI_5",1.03170874271797
"mSI_6",0.898259125299887
"mSI_7",1.0709727785678
"mSI_8",1.11844288384776
"mSI_9",0.994263117872272
"sd_1",0.702924890346698
"sd_2",1.00875496741576
"sd_3",0.985158561945755
"sd_4",0.94089814214191
"sd_5",1.01480000207262
"sd_6",1.28658924284981
"sd_7",0.772493401175129
"sd_8",0.551957149869714
"sd_9",1.1530035173865
"sd_10",1.25402950405562
"sd_11",1.13241878776567
"sd_12",1.1793814253606
"s_13",0.932305517307316
"s_14",0.851512971773289
"s_15",0.99129317556342
"s_16",0.969519218700498
"s_17",1.15938017305009
"s_18",0.820273305479813
"s_19",0.875731489377626
"s_20",1.20500359290461
"IM_1",1.08852493816698
"IM_2",1.19463098930434
"IM_3",1.16533495357891
"IM_4",1.32472167905447
"IM_5",1.05477313160466
"IM_6",1.03694900805801
"IM_7",1.04063966089316
"IM_8",0.641277211257165
"IM_9",1.09240577567455
"IM_10",0.673804211048859
"IM_11",0.841907130219204
"IM_12",0.915696691805202
"IM_13",0.597316901619468
"IM_14",0.80533218239792
"IM_15",1.07306663655843
"IM_16",1.17421687664871
"IM_17",0.888982536794853
"IM_18",0.588439306165775
"IM_19",1.29425632572437
"IM_20",1.08688989361794
"Abl",1.35468967983622
"Att",1.11098405748224
"Wlt",0.959623083317462
"Scl",1.19117100271628
"Mrl",1.04652294047698
"o_1",0.822988016684753
"f_2",0.877125638220981
"ablty_ALT_r",0.754256345522238
"mrl_ALT_r",0.731204124369982
"ablty_ALT_d",0.700827749815566
"mrl_ALT_d",0.705536533660181
"a_I",0.438827948013096
"m_I",0.355222180026989
"a_SRET_E",1.24115079414844
"m_SRET_E",0.538215762525587
"ab_SRET_",0.650716960909373
"mr_SRET_",0.540564039105894
"a_SRET_RJ1",0.0614259697535242
"m_SRET_RJ1",0
"a_SRET_RJ2",0.474194585282805
"m_SRET_RJ2",0.41028139638641
