"","selfclarity_al","ses_al","coreself_al","hsns_al","NPI_al","LOT_al","sde_al","IM_al","MorIden_al","moralSeImag_al","IPC_al","domain_al","ability_ALT_rt","moral_ALT_rt","ability_ALT_d","moral_ALT_d","ability_IAT","moral_IAT","ability_SRET_EW","moral_SRET_EW","ability_SRET_rt","moral_SRET_rt","ability_SRET_RJ1_d","moral_SRET_RJ1_d","ability_SRET_RJ2_d","moral_SRET_RJ2_d"
"411",0.911751922117262,0.490554093089805,1.13431488660723,-1.67493654960836,1.30581754781722,0.210581495437708,0.393500818810366,0.57697862249516,0.554422456967642,0.949497878128868,0.381870193789971,0.987651023290784,-0.0721055211394489,-0.892145510321364,-0.102505598667172,-0.611941778126626,0.10288845840725,0.847247740643503,0.764174573186744,-0.218887363893689,-0.0790447624856714,-0.213073780095186,-0.743031644900215,-0.867244356358716,0.690160994937259,-0.144958584820575
"412",-0.0287961025443102,0.1352643755604,0.407023123747526,0.188236737280071,1.00874553218988,-0.068161905102205,0.0869480384361574,-0.164561453174123,0.349518345391798,-0.235215449220613,-0.297820915468187,1.33312283463659,0.0189114223092745,0.736115845950745,0.416503038941102,1.05017665207469,0.22246664259405,-0.0376102092309112,0.764174573186744,0.214578557517829,0.84999341169676,-0.338334549001108,-2.18799366190378,0.42204403738797,0.500924997212278,0.272116915307727
"413",1.00580672458342,0.845843810619211,1.25553018041718,-1.16679838045697,2.49410561032661,0.768068296517534,1.4664355501201,0.716017386683151,0.964230680119331,0.0807081047392488,0.925623081196498,0.296707400599179,0.564682867077421,0.748398183780076,-0.152636134972394,0.178695165962229,-0.655345936777237,0.880020257305518,0.489421313492011,-0.652353285305207,-0.283967378623844,-0.197602141180441,0.164391074098777,-0.853262280969355,0.798681510508653,0.0350134335060796
"414",1.19391632951573,0.490554093089805,-0.320268639112175,1.03513368586572,-1.07075857720155,0.489324895977621,-0.0152362216885789,0.206208584660519,0.759326568543486,-2.28871854995971,-1.24938846842961,-1.43065165612983,-1.78378448157251,0.020818523233922,-1.46438239742591,-0.814365843516198,-1.22062462566029,-1.42224903820106,-0.609591725286924,-0.218887363893689,-0.0393957838031328,-0.530242377847474,-0.290188912870644,-0.476445144279808,0.0863997109868258,-0.51516539930208
"415",0.911751922117262,0.1352643755604,-0.683914520542026,1.37389246529998,-1.07075857720155,0.210581495437708,-0.219604741938051,0.113516075201858,0.554422456967642,-2.52566121542961,-0.705635581023082,-1.20033711523263,-1.6723746684244,-0.866450689553446,-1.66397411767912,0.297486049099414,-2.82949474017361,-2.0831614575517,-1.70860476406586,0.214578557517829,-0.569161786691227,-0.280348962128322,-0.115769438037349,1.60283563079752,-1.98199877111295,-1.78691893979178
"416",-0.499070114875096,0.1352643755604,-0.562699226732075,-0.15052204215419,-1.07075857720155,0.210581495437708,-0.679433912499365,-0.488985236279434,0.964230680119331,-0.235215449220613,-1.38532669028124,-0.279078951643826,1.18287268575159,0.380121907670806,0.327931354082508,1.06721281385472,-0.706981970857901,-1.10817908685675,1.03892783288148,0.214578557517829,-0.410426752737625,-0.0443734096209395,-1.6609555501046,0.278098772408815,-0.749634652545985,-1.44090702001986
"417",0.441477909786476,0.1352643755604,-0.0778380514922746,0.0188573475629408,-0.773686561574202,-0.346905305642118,-0.27069687200042,-0.0718689437154622,-0.0602898777598905,-0.472158114690509,-0.161882693616555,-1.31549438568123,0.840732597143317,-0.280894959250094,0.785624792389696,0.338209331431575,0.309432594729905,0.047052125479295,-0.0600852058974568,-0.218887363893689,-0.476369264651742,-0.162493422104672,1.02695233866862,1.08116358581929,1.08854945793591,1.6186782862288
"418",1.47608073691421,1.02348866938391,1.25553018041718,-2.01369532904262,-0.179542530319509,1.32555509759736,1.82408046055667,1.78198124545774,1.16913479169517,1.81828765151849,1.19749952489976,1.44828010508519,0.677327605740792,-1.80758124320307,1.00308771589327,0.0776815790331865,0.613813427205398,-1.95207139090364,0.764174573186744,0.648044478929346,-0.00642452784607449,-0.366600043172279,-0.657825511559871,0.0657836466415472,-1.58689167863247,-0.0933970712101423
"419",0.535532712252633,-0.0423804832043029,0.407023123747526,-0.489280821588451,-1.07075857720155,0.210581495437708,-0.372881132125156,-0.0718689437154622,0.144614233815954,-0.235215449220613,0.24593197193834,-1.20033711523263,0.342504158538601,0.295516401315428,-0.9125688480668,0.193268223694546,0.785027645472863,-1.92202991729679,0.489421313492011,0.214578557517829,0.454755697882401,0.339739779589383,-0.835491975419558,0.196656479540869,-2.49261991854528,-0.618802575079718
"420",1.19391632951573,0.312909234325103,1.01309959279728,-0.658660211305581,-0.476614545946856,0.210581495437708,1.00660637955878,0.113516075201858,-0.0602898777598905,-1.65687144203999,0.789684859344866,1.33312283463659,-0.315993568008889,0.693813092773055,-0.96454082310562,0.708270702393894,-0.0194074117837966,-1.09452387158091,1.03892783288148,-1.08581920671672,-0.244318399941306,-0.0271165816006463,-0.972813760368046,-1.65119069146926,-0.999683111038495,0.653598017379054
"421",0.347423107320319,0.845843810619211,0.528238417557476,-1.3361777701741,1.60288956344457,0.489324895977621,0.240224428623262,0.298901094119179,0.554422456967642,1.42338320906866,0.381870193789971,0.757336482393582,2.43635346451292,1.48715241775156,0.819408957828437,0.958119336717772,-0.79123023698951,0.748930190657457,1.03892783288148,-0.218887363893689,0.118782773256679,0.0422082619981185,-0.290188912870644,0.834309638719532,-0.749634652545985,-1.12313942027533
"422",0.441477909786476,-0.220025341969006,0.164592536127626,0.0188573475629408,-0.773686561574202,-0.068161905102205,-0.321789002062788,-0.164561453174123,-0.0602898777598905,-0.393177226200544,-0.0259444717649236,-0.509393492541027,0.431015504423741,0.106087785162892,0.227034529469494,-0.30624898024017,0.920911945685136,-0.250631567534011,0.214668053797277,0.214578557517829,-0.867016044092333,-0.0964414251994108,0.746791826532496,0.915751931587478,-0.728123703308922,0.740054315894855
"423",0.159313502388004,1.20113352814862,0.770669005177377,-0.15052204215419,1.00874553218988,0.489324895977621,0.648961469122207,1.04044116978846,1.16913479169517,1.42338320906866,0.24593197193834,0.757336482393582,0.51056519447227,-0.958449123198835,-0.901513205943172,-1.11116383716612,1.2415988941861,1.26236628502903,0.214668053797277,-0.218887363893689,0.136311795411065,-0.724827990352161,0.429533624511564,-0.343458931579967,0.563098670643139,-0.0229936497211272
