"","x"
"sl_1",0.850841308660794
"sl_2",1.06364706196195
"sl_3",0.419700026531087
"sl_4",1.17396089695737
"sl_5",0.912332485317164
"sl_6",0.864753290074224
"sl_7",0.67562368597093
"sl_8",1.02585865466498
"sl_9",0.813122796611414
"sl_10",0.569474450252693
"sl_11",1.08006529025454
"sl_12",1.09400413348164
"LOT_1",0.834979824468822
"LOT_2",0.732769878370916
"LOT_3",1.10332223218691
"LOT_4",0.738324827208858
"LOT_5",1.10301066242563
"LOT_6",0.599994327211105
"IPC_1",0.713597334349234
"IPC_2",0.493124424491998
"IPC_3",1.05608960317022
"IPC_4",0.478619675076865
"IPC_5",1.02069383543364
"IPC_6",1.06574017806123
"IPC_7",1.03135198721909
"IPC_8",0.755283799532393
"ss_1",1.01867883243535
"ss_2",0.912516322557552
"ss_3",1.03596882950446
"ss_4",0.890788358458601
"ss_5",0.919839886319019
"ss_6",1.03144435695086
"ss_7",1.05144509462347
"ss_8",0.504585043659561
"ss_9",1.03163176455963
"ss_10",0.94526454874948
"cr_1",1.14989281811121
"c_2",0.708340842994063
"c_3",0.634229336832137
"c_4",1.03502001021307
"c_5",0.918113187918512
"c_6",1.17406707257146
"c_7",1.14196834774996
"c_8",0.984756239178938
"c_9",1.04553702483689
"c_10",0.976074899947156
"NPI1",0.672563366849117
"NPI2",1.08401472256133
"NPI3",1.06627986478587
"NPI4",0.906638810542836
"NPI5",0.763825056532202
"NPI6",0.316248577505969
"NPI7",0.732739293861896
"NPI8",0.767256507627135
"NPI9",0.0936438745476534
"NPI10",0.995082756125825
"NPI11",0.902980368307169
"NPI12",0.223920364150022
"NPI13",0.557669617428829
"NPI14",0.224287456713512
"NPI15",0.907289127866143
"hs_1",0.875099524015077
"h_2",-0.674906071352899
"h_3",-0.349786140733017
"h_4",-0.455991390536077
"h_5",-0.422200932455961
"h_6",0.160166114615367
"h_7",-0.192021307635977
"h_8",-0.110296820103921
"h_9",0.340259031161066
"h_10",-0.459166796623618
"MrI_1",0.871393650109071
"MI_2",0.779817821711092
"MI_3",0.393798746329218
"MI_4",0.443806162284142
"MI_5",1.00928334979552
"MI_6",0.690178809408016
"MI_7",0.932059020712907
"MI_8",0.826600173554253
"MI_9",0.787840228001426
"MI_10",0.935184183109792
"mSI_1",1.09231241451892
"mSI_2",0.876276243855882
"mSI_3",1.04689120023891
"mSI_4",0.971281064683346
"mSI_5",1.04266956538137
"mSI_6",0.865656522100855
"mSI_7",1.07553861911063
"mSI_8",1.07696823004954
"mSI_9",0.940364265906926
"sd_1",0.737629238361396
"sd_2",0.721023741869984
"sd_3",0.540415613571647
"sd_4",0.94627710128464
"sd_5",0.980242936368836
"sd_6",0.791222336290487
"sd_7",0.830727154572888
"sd_8",-0.463989783422663
"sd_9",1.1565271299504
"sd_10",0.408471928799126
"sd_11",1.13148091704028
"sd_12",1.00266764687395
"s_13",0.506825248561556
"s_14",0.359672110748459
"s_15",1.00904055319967
"s_16",0.576592480953029
"s_17",1.17177201206188
"s_18",0.319958782682344
"s_19",0.484783745145419
"s_20",0.954127101513169
"IM_1",1.11631482340785
"IM_2",1.11149418766653
"IM_3",0.705825906990018
"IM_4",0.992176800501022
"IM_5",0.689498765494678
"IM_6",0.950274766020563
"IM_7",0.981569833654758
"IM_8",0.60125844145098
"IM_9",0.977241249866727
"IM_10",0.593954071340637
"IM_11",0.858915556685078
"IM_12",0.879612567683449
"IM_13",0.442392138458094
"IM_14",0.799771561302654
"IM_15",0.871348104445899
"IM_16",1.17763764521454
"IM_17",0.836021861790344
"IM_18",0.608998874518656
"IM_19",1.20057655278187
"IM_20",1.06665001868236
"Abl",1.23079954767924
"Att",1.13896552578347
"Wlt",0.879056831237101
"Scl",0.745659921082513
"Mrl",0.999969710519074
"ablty_ALT_r",0.563627332958907
"mrl_ALT_r",0.633557039266148
"ablty_ALT_d",0.621982280393998
"mrl_ALT_d",0.630165623317447
"a_I",0.360046175819964
"m_I",0.292191654443723
"a_SRET_E",0.743849843741455
"m_SRET_E",0.525229139043126
"ab_SRET_",0.648672725848858
"mr_SRET_",0.579040998219626
"a_SRET_RJ1",0.114218398708679
"m_SRET_RJ1",-0.017786786492001
"a_SRET_RJ2",0.400861955853185
"m_SRET_RJ2",0.250427120901889
