"","selfclarity_al","ses_al","coreself_al","hsns_al","NPI_al","LOT_al","sde_al","IM_al","MorIden_al","moralSeImag_al","IPC_al"
"465",-0.216905707476625,0.312909234325101,0.407023123747527,0.188236737280071,1.00874553218987,0.210581495437708,0.700053599184575,-0.0255226889861321,-0.265193989335735,-0.867062557140336,0.517808415641603
"466",1.57013553938036,0.845843810619208,1.49796076803708,-2.18307471875975,-0.476614545946855,1.60429849813727,1.26206702987062,1.55024997181109,0.144614233815954,-0.551139003180475,0.789684859344867
"467",-0.875289324739725,0.135264375560399,-0.683914520542026,1.03513368586572,1.60288956344457,-1.46187890780177,-0.628341782436996,-0.257253962632783,0.349518345391798,0.870516989638903,0.789684859344867
"468",-0.310960509942782,0.135264375560399,0.0433772423176757,-1.50555715989123,-0.476614545946855,0.768068296517535,0.495685078935102,0.4842861130365,-1.28971454721495,-0.077253672240682,-0.0259444717649236
"469",0.065258699921847,-1.28589449455722,-1.41120628340173,0.0188573475629408,0.414601500935183,-3.13433931104125,-0.321789002062788,-1.46225658559537,-0.675002212487423,-0.788081668650371,-0.433759137319819
"470",-1.72178254693514,-2.17411878838073,-1.77485216483158,-0.15052204215419,-0.476614545946855,-0.904392106721945,-1.70127651374673,-1.41591033086604,-1.90442688194249,-0.472158114690509,-0.977512024726345
"471",-0.68717971980741,-0.397670200733707,-1.04756040197188,0.696374906431462,0.117529485307837,-1.46187890780177,-0.628341782436996,-1.18417905721939,-1.69952277036664,-0.551139003180475,-0.977512024726345
"472",0.159313502388004,0.668198951854506,0.528238417557477,-0.997418990739842,-0.773686561574202,0.768068296517535,0.444592948872734,-0.0255226889861321,-0.265193989335735,0.712555212658972,0.653746637493235
"473",0.159313502388004,1.37877838691331,0.891884298987328,0.526995516714332,1.30581754781722,1.32555509759736,0.751145729246943,1.27217244343511,1.78384712642271,1.58134498604859,1.19749952489976
"474",-0.593124917341253,-0.930604777027813,-0.926345108161927,0.188236737280071,-0.773686561574202,-0.625648706182032,-0.423973262187524,0.345247348848509,0.349518345391798,-0.393177226200544,-0.161882693616555
"475",-1.06339892967204,-0.0423804832043028,-0.199053345302225,0.696374906431462,1.30581754781722,-0.904392106721945,0.342408688747998,-0.488985236279434,0.144614233815954,0.949497878128868,0.789684859344867
"476",-0.310960509942782,1.02348866938391,0.528238417557477,1.37389246529998,2.4941056103266,0.768068296517535,-0.628341782436996,-0.674370255196754,-0.675002212487423,0.475612547189076,1.06156130304813
"477",-0.310960509942782,-0.397670200733707,-0.562699226732076,-0.31990143187132,0.117529485307837,0.210581495437708,-1.13926308306068,-1.46225658559537,-0.0602898777598905,0.23866988171918,-0.0259444717649236
"478",-0.216905707476625,1.02348866938391,0.891884298987328,-0.15052204215419,1.30581754781722,0.489324895977621,0.597869339059839,1.13313367924712,0.96423068011933,1.42338320906866,0.653746637493235
"479",-0.310960509942782,-0.0423804832043028,-0.199053345302225,0.696374906431462,1.60288956344457,0.768068296517535,0.240224428623262,0.159862329931189,0.554422456967642,0.949497878128868,0.381870193789971
"480",0.911751922117262,0.845843810619208,0.407023123747527,0.526995516714332,1.89996157907191,0.768068296517535,0.700053599184575,-0.118215198444792,-1.69952277036664,-1.49890966506006,0.517808415641603
"481",1.09986152704958,0.668198951854506,1.37674547422713,-0.31990143187132,0.414601500935183,1.32555509759736,1.72189620043194,-0.0255226889861321,1.37403890327102,0.554593435679041,0.925623081196498
"482",-1.72178254693514,-2.52940850591013,-2.01728275245148,1.03513368586572,-0.476614545946855,-1.46187890780177,-2.26328994443278,-1.972065387618,-2.10933099351833,-1.97279499599985,-0.705635581023082
"483",-0.875289324739725,0.135264375560399,-0.441483932922126,0.865754296148593,0.711673516562529,0.489324895977621,-0.117420481813315,0.298901094119179,0.554422456967642,1.18644054359876,0.517808415641603
"484",-1.53367294200283,-2.17411878838073,-1.28999098959178,1.03513368586572,0.414601500935183,-0.625648706182032,-0.423973262187524,0.252554839389849,-0.470098100911579,0.870516989638903,-0.56969735917145
"485",0.535532712252633,0.845843810619208,1.13431488660723,-0.828039601022711,-0.476614545946855,0.489324895977621,0.648961469122207,0.53063236776583,0.144614233815954,-0.077253672240682,0.381870193789971
"486",0.159313502388004,0.490554093089804,0.164592536127626,0.696374906431462,-0.179542530319509,-0.346905305642118,-0.781618172624101,-1.74033411397135,-0.879906324063267,-0.235215449220613,-0.433759137319819
"487",0.817697119651104,0.490554093089804,0.528238417557477,-1.84431593932549,-0.179542530319509,0.768068296517535,0.700053599184575,0.71601738668315,0.759326568543486,1.26542143208873,-0.0259444717649236
"488",-2.09800175679977,-0.397670200733707,-0.683914520542026,1.03513368586572,-1.07075857720155,-0.625648706182032,-0.934894562811205,-0.952447783572735,0.144614233815954,-1.02502433412027,-0.841573802874714
"489",0.159313502388004,0.135264375560399,0.528238417557477,-0.828039601022711,-0.179542530319509,0.768068296517535,0.240224428623262,0.762363641412481,0.144614233815954,-0.472158114690509,0.24593197193834
"490",-1.90989215186745,0.312909234325101,0.407023123747527,-0.31990143187132,-0.476614545946855,-1.46187890780177,0.29131655868563,1.17947993397645,0.96423068011933,0.475612547189076,0.653746637493235
"491",0.441477909786476,-0.397670200733707,0.0433772423176757,-0.15052204215419,0.117529485307837,-0.0681619051022051,0.189132298560894,-0.303600217362113,-1.28971454721495,-0.63011989167044,-0.705635581023082
"492",0.065258699921847,-0.752959918263111,-1.16877569578183,1.54327185501711,-0.773686561574202,-0.346905305642118,-0.628341782436996,-1.13783280249006,-3.13385155139755,-0.63011989167044,-0.297820915468187
"493",0.253368304854161,1.02348866938391,1.01309959279728,-1.16679838045697,1.00874553218987,-0.0681619051022051,0.751145729246943,0.206208584660519,1.57894301484686,0.633574324169007,1.60531419045466
"494",0.159313502388004,0.490554093089804,0.649453711367427,0.188236737280071,2.19703359469926,0.768068296517535,-0.219604741938051,-1.27687156667805,0.349518345391798,-0.472158114690509,0.517808415641603
"495",-0.68717971980741,0.490554093089804,0.528238417557477,-0.31990143187132,0.117529485307837,-0.0681619051022051,0.0358559083737892,0.0208235657431981,-0.0602898777598905,0.554593435679041,0.517808415641603
"496",0.62958751471879,0.845843810619208,0.649453711367427,0.357616126997202,-0.476614545946855,0.489324895977621,0.342408688747998,1.50390371708176,0.349518345391798,0.712555212658972,0.109993750086708
