"Target_Variable","RMSE","Rsquared","MAE"
"selfclarity_1",0.752894673438866,0.436870818083061,0.586434056782392
"selfclarity_2",0.616561081590433,0.64301319413178,0.473561785850012
"selfclarity_3",0.956672641033091,0.243066685462867,0.770975494872968
"selfclarity_4",0.734041230970253,0.512360782101014,0.579167120213072
"selfclarity_5",0.794305946485424,0.440338018452614,0.615252176208329
"selfclarity_6",0.802990288926646,0.428033946405725,0.61195634305376
"selfclarity_7",0.926605776809158,0.262505261865474,0.684859821609844
"selfclarity_8",0.627567710054248,0.629065256894797,0.488144761581465
"selfclarity_9",0.701196582673635,0.54769879867038,0.54883622746245
"selfclarity_10",0.873415982747356,0.336107259647563,0.674120581109128
"selfclarity_11",0.692968552537385,0.539177066046829,0.53937487986909
"selfclarity_12",0.656562406076506,0.597993901400854,0.498179450726081
"LOT_1",0.937622180889787,0.244168059237867,0.729034672106424
"LOT_2",0.782828579705296,0.449638426325984,0.609990911651281
"LOT_3",0.653573221476213,0.599178205412098,0.509172522865708
"LOT_4",0.815524441705859,0.372969488011379,0.616763500840098
"LOT_5",0.786219093348015,0.41176562643348,0.607909251071192
"LOT_6",0.984087542154433,0.192468114249876,0.763598706142526
"IPC_1",0.808948978622998,0.410340363781799,0.625338921807727
"IPC_2",0.971782123735967,0.199008451433599,0.76703562032701
"IPC_3",0.748252575217247,0.483438557816459,0.569001208258427
"IPC_4",1.02737416062533,0.148124448064264,0.784216712542828
"IPC_5",0.73810796960919,0.5029571287075,0.568142955968245
"IPC_6",0.773024964676314,0.461714628080195,0.599412119152848
"IPC_7",0.842540513734869,0.362174620478987,0.641509425621505
"IPC_8",0.9128238561932,0.267274405594142,0.693623033911077
"ses_1",0.729206419068129,0.501776051091389,0.566624813197138
"ses_2",0.833322760342542,0.365181380977538,0.665237109109778
"ses_3",0.647556228435187,0.591877949655943,0.516976513913594
"ses_4",0.792700469568919,0.421639647373359,0.622881016370242
"ses_5",0.742080710112004,0.488572524154846,0.575095470715354
"ses_6",0.730662821409098,0.508451115674089,0.577201770732884
"ses_7",0.661916611381842,0.586272425349978,0.508128159961223
"ses_8",1.01111786284699,0.180738898137544,0.766306483991703
"ses_9",0.637111598464937,0.614809685413589,0.486998804492092
"ses_10",0.685944589199257,0.549948427930828,0.536651783249733
"coreself_1",0.656600720554921,0.571524202140621,0.489905397754098
"coreself_2",0.635587251648756,0.616847107104708,0.485482560174458
"coreself_3",0.69247684308876,0.557303386988058,0.546567002780317
"coreself_4",0.757056766245213,0.478862203527127,0.579067501752684
"coreself_5",0.736370692690267,0.501972865144069,0.575328106042102
"coreself_6",0.630464029233945,0.62454482888355,0.488016292909176
"coreself_7",0.56948798962439,0.693465597266946,0.448549381716948
"coreself_8",0.616088205145545,0.636970646559087,0.479793174906567
"coreself_9",0.753822002842069,0.487123398661762,0.566473101442503
"coreself_10",0.688838981010189,0.555962583514443,0.530424186864215
"NPI1",0.961289188762069,0.219449626027148,0.738280206988593
"NPI2",0.715845896827292,0.517768620748159,0.502411045190523
"NPI3",0.83120700908064,0.368962790948892,0.621974372046326
"NPI4",0.866905563050423,0.325431269795334,0.671042231032341
"NPI5",0.963493034600314,0.23065393285746,0.703871553947443
"NPI6",0.999276948478015,0.201618657984361,0.776806845600102
"NPI7",0.817543735804373,0.399216250244903,0.630908947740102
